,black,term_360,conforming,debt_to_income_ratio_missing,loan_amount_std,loan_to_value_ratio_std,no_intro_rate_period_std,intro_rate_period_std,property_value_std,income_std,debt_to_income_ratio_std,loan_amt:prprty_vl,high_priced
24,0.0,1.0,1.0,0.0,-0.8221998628636271,0.490778676284541,0.244394395255126,-0.215304222414135,-0.813445356465658,-0.035456655856013,0.306144306749884,0.1329291833130614,1.0
51,0.0,1.0,1.0,0.0,-0.99808935993346,-1.82633606435425,0.244394395255126,-0.215304222414135,-0.720941027178819,-0.037189058043679,-2.52754664780955,0.10335804166152193,0.0
65,0.0,1.0,1.0,0.0,-0.5583656172588771,-0.22393863412265,0.244394395255126,-0.215304222414135,-0.5667671450340881,-0.021597438354688,-2.52754664780955,0.03277610047266231,0.0
98,1.0,1.0,1.0,0.0,-0.338503745921586,0.4013403418049579,0.244394395255126,-0.215304222414135,-0.443428039318302,-0.031298890605616005,1.5858757055831798,0.15010205235590954,0.0
119,0.0,1.0,1.0,0.0,-0.8221998628636271,0.385754812284738,0.244394395255126,-0.215304222414135,-0.782610580036712,-0.04169330373161,0.031916149857036,0.09705311187189984,1.0
149,0.0,1.0,1.0,0.0,-0.5583656172588771,-0.22393863412265,0.244394395255126,-0.215304222414135,-0.5667671450340881,-0.028527047105351,-0.425130778297711,0.03277610047266231,0.0
179,0.0,1.0,0.0,0.0,2.03600446452116,-1.30118751961955,-4.09174686250922,3.16300840090708,1.83834541642372,0.008546359710695,0.85460062053558,4.496236384832872,0.0
228,0.0,0.0,1.0,0.0,-0.910144611398544,-0.202370339337268,0.244394395255126,-0.215304222414135,-0.813445356465658,-0.032684812355747994,-1.15640586334531,0.16053973968176272,0.0
249,0.0,1.0,1.0,0.0,-0.8661722371310849,-0.156963402946991,0.244394395255126,-0.215304222414135,-0.813445356465658,-0.039960901543944,-0.425130778297711,0.1460135047506193,0.0
254,1.0,1.0,1.0,0.0,1.64025309611404,0.4154333587524791,0.244394395255126,-0.215304222414135,0.9133021235553348,0.037304236025945,-1.15640586334531,1.4980466358491655,0.0
260,0.0,1.0,1.0,0.0,-0.910144611398544,0.325750523631891,0.244394395255126,-0.215304222414135,-0.844280132894604,-0.037535538481212015,-0.150902621404863,0.17838243822533104,0.0
264,0.0,1.0,1.0,0.0,-0.5583656172588771,-0.286247041280419,0.244394395255126,-0.215304222414135,-0.5667671450340881,-0.006005818665697,-0.425130778297711,0.05563304913111523,0.0
266,0.0,1.0,1.0,0.0,-0.7342551143287099,0.490778676284541,0.244394395255126,-0.215304222414135,-0.751775803607765,-0.04065386241901,0.85460062053558,0.03500593675036163,0.0
282,0.0,1.0,1.0,0.0,-1.08603410846838,-0.8480186442762929,0.244394395255126,-0.215304222414135,-0.905949685752497,-0.046544029857073,0.85460062053558,0.3463786451939231,1.0
296,0.0,1.0,1.0,0.0,-0.99808935993346,-0.433834966302341,0.244394395255126,-0.215304222414135,-0.87511490932355,-0.030605929730549,0.7631912349046309,0.2521137704165205,0.0
